malformed	clean_target	relation_count	target_exists
petrarch'	petrarch	0	True
f held for three bar	f held for three bar	0	True
barker'	barker	0	True
more'	more	0	True
infinitely superior to halleck'	infinitely superior to halleck	0	False
rousseau'	rousseau	0	True
masterly in painting as manet'	masterly in painting as manet	0	False
grieg'	grieg	0	True
strauss'	strauss	0	True
dekker'	dekker	0	True
doubtless the emperor'	doubtless the emperor	0	False
thy mother'	thy mother	0	True
whole country'	whole country	0	True
simply a variant of schubert'	simply a variant of schubert	0	False
nobody'	nobody	0	True
latitude of 16 48' 	latitude of 16 48	0	False
red and gold'	red and gold	0	True
vishnu'	vishnu	0	True
1 oblations of butter	1 oblations of butter	0	True
richer than a king'	richer than a king	0	False
free from the 'poetic turbulence'	free from the 'poetic turbulence	0	False
_ _dostun_	_dostun_	0	False
_ our statesmen	our statesmen	0	True
humanist paganism of st praxed'	humanist paganism of st praxed	0	False
duly dedicated to 	duly dedicated to	0	False
marble statue of 	marble statue of	0	False
murderer'	murderer	0	True
apocalypse of 	apocalypse of	0	False
great as dorothy'	great as dorothy	0	False
life of 	life of	0	False
tacit allusions to saint matthew'	tacit allusions to saint matthew	0	False
7 another	7 another	0	True
r abraham8	r abraham8	0	True
about fifteen miles 	about fifteen miles	0	False
froude'	froude	0	True
9 to 14 fathom	9 to 14 fathom	0	True
6 mil	6 mil	0	True
2 miles from the island	2 miles from the island	0	True
5 to 25 fathom	5 to 25 fathom	0	True
5 miles fro the light	5 miles fro the light	0	True
4 or 5 mil	4 or 5 mil	0	True
2 miles long	2 miles long	0	True
3 miles long	3 miles long	0	True
5 fathom	5 fathom	0	True
4 fathom	4 fathom	0	True
9 to 18 feet	9 to 18 feet	0	True
hers as much as britain'	hers as much as britain	0	False
1 salary	1 salary	0	True
b land	b land	0	True
cousin of kruger'	cousin of kruger	0	False
coke'	coke	0	True
washington'	washington	0	True
3 units from the track	3 units from the track	0	True
bowlin'	bowlin	0	False
longworth'	longworth	0	True
procession at 	procession at	0	False
fireworks or _girandola_ at castle 	fireworks or _girandola_ at castle	0	False
palestrina'	palestrina	0	True
conventuals of 	conventuals of	0	False
tyndale'	tyndale	0	True
gottlob'	gottlob	0	False
frederick'	frederick	0	True
6 to 7 per week	6 to 7 per week	0	True
3 to 15 per week	3 to 15 per week	0	True
8 per week	8 per week	0	True
8 each 1st	8 each 1st	0	True
brother of james'	brother of james	0	False
8 eight pound	8 eight pound	0	True
dreadfully wrong'	dreadfully wrong	0	False
latitude of 16 15' 	latitude of 16 15	0	False
6 degrees 57 minut	6 degrees 57 minut	0	True
small island lying off the 	small island lying off the	0	False
latitude 51 0'	latitude 51 0	0	False
remote from spenser'	remote from spenser	0	False
brahman title meaning 'spiritual preceptor'	brahman title meaning 'spiritual preceptor	0	False
evidently a mistake for 'forty'	evidently a mistake for 'forty	0	False
jâmi'	jâmi	0	False
less'	less	0	True
philosophy teaching by example'	philosophy teaching by example	0	False
corruption of 'gregory'	corruption of 'gregory	0	False
4 silver salt ladl	4 silver salt ladl	0	True
humanitarian'	humanitarian	0	True
christian'	christian	0	True
nichols'	nichols	0	True
6 feet apart	6 feet apart	0	True
8 26' south	8 26' south	0	True
4 7' 30 south	4 7' 30 south	0	True
3 37' south	3 37' south	0	True
4 35' south	4 35' south	0	True
4 56' south	4 56' south	0	True
5 42' south	5 42' south	0	True
5 21' south	5 21' south	0	True
0 16' south	0 16' south	0	True
5 45' south latitude	5 45' south latitude	0	True
amenhotep'	amenhotep	0	True
author'	author	0	True
fightin'	fightin	0	True
full of 'flying tales'	full of 'flying tales	0	False
widow of john 	widow of john	0	False
widow of george 	widow of george	0	False
languid compared with scott'	languid compared with scott	0	False
seven'	seven	0	True
tennyson'	tennyson	0	True
commonly better than scott'	commonly better than scott	0	False
7 member	7 member	0	True
shakspeare'	shakspeare	0	True
better than pope'	better than pope	0	False
scarce'	scarce	0	True
flirt of my father'	flirt of my father	0	False
near unto all things'	near unto all things	0	False
west'	west	0	True
gratuitous addition of wildenvey'	gratuitous addition of wildenvey	0	False
colourless as donizetti'	colourless as donizetti	0	False
greater than man'	greater than man	0	True
wagner'	wagner	0	True
pierce'	pierce	0	True
trekking towards van reenan'	trekking towards van reenan	0	False
artist'	artist	0	True
remote from wagner'	remote from wagner	0	False
simpler than bach'	simpler than bach	0	False
latitude of 58 15'	latitude of 58 15	0	False
great doria church of 	great doria church of	0	False
mercato di 	mercato di	0	False
beautiful tomb in 	beautiful tomb in	0	False
great rucellai madonna of 	great rucellai madonna of	0	False
oratories of 	oratories of	0	False
v to-morrow	v to-morrow	0	True
v between the nogat	v between the nogat	0	True
venice'	venice	0	True
juan'	juan	0	True
priests'	priests	0	True
lord brooke'	lord brooke	0	False
holland'	holland	0	True
his picture of the 'commoner'	his picture of the 'commoner	0	False
4 or 5 a year	4 or 5 a year	0	True
middle horn class'	middle horn class	0	False
saying of the irish sergeant'	saying of the irish sergeant	0	False
2 to 3 inches high	2 to 3 inches high	0	True
his prophet'	his prophet	0	True
literally a reproduction of the 	literally a reproduction of the	0	False
casembe'	casembe	0	True
3 feet 9 inch	3 feet 9 inch	0	True
exact reverse of a civilian'	exact reverse of a civilian	0	False
entrance to mccreery'	entrance to mccreery	0	False
vantine'	vantine	0	False
set of ten 'additional instructions'	set of ten 'additional instructions	0	False
grayin'	grayin	0	False
domes of 	domes of	0	False
palladio's massive redentore and 	palladio's massive redentore and	0	False
evangelists and prophets 	evangelists and prophets	0	False
coppersmith'	coppersmith	0	True
escape in the church of 	escape in the church of	0	False
scuola di 	scuola di	0	False
reliefs of 	reliefs of	0	False
pictures of the martyrdom of 	pictures of the martyrdom of	0	False
two ways of returning from 	two ways of returning from	0	False
tintoretto'	tintoretto	0	True
john higgins'	john higgins	0	False
8 to 10 an acre	8 to 10 an acre	0	True
5 feet 10 inch	5 feet 10 inch	0	True
4 inches thick	4 inches thick	0	True
polly'	polly	0	True
galignani'	galignani	0	False
2 and more fathom	2 and more fathom	0	True
simba'	simba	0	True
kasongo'	kasongo	0	False
haydn'	haydn	0	True
beethoven'	beethoven	0	True
oberlin'	oberlin	0	True
2 feet shoaler	2 feet shoaler	0	True
editor'	editor	0	True
great french bookseller'	great french bookseller	0	False
my poll'	my poll	0	False
2 kings xviii	2 kings xviii	0	True
1 authority in the family	1 authority in the family	0	True
great confidant of the cardinal'	great confidant of the cardinal	0	False
altarpiece at 	altarpiece at	0	False
laid down in 22 	laid down in 22	0	False
m alike in macedon	m alike in macedon	0	True
full of common-sense as defoe'	full of common-sense as defoe	0	False
3 to 4 feet thick	3 to 4 feet thick	0	True
4 feet 5 inch	4 feet 5 inch	0	True
superior to a quartermaster'	superior to a quartermaster	0	False
7 feet high	7 feet high	0	True
4 inches in length	4 inches in length	0	True
2 feet in length	2 feet in length	0	True
5 feet 8 inch	5 feet 8 inch	0	True
burroughs'	burroughs	0	True
2 feet 5 inches high	2 feet 5 inches high	0	True
lockhart'	lockhart	0	True
somewhat akin to borntraeger'	somewhat akin to borntraeger	0	False
jerrold'	jerrold	0	True
his 'mistress'	his 'mistress	0	False
2 or more prefectur	2 or more prefectur	0	True
same as other people'	same as other people	0	False
mine the devil'	mine the devil	0	False
89 degrees 58 minutes 	89 degrees 58 minutes	0	False
faith'	faith	0	True
larger than st sulpice'	larger than st sulpice	0	False
tiny hamlet 1 mile 	tiny hamlet 1 mile	0	False
2 miles n	2 miles n	0	True
1 mile to the w	1 mile to the w	0	True
village about 1½ mile 	village about 1½ mile	0	False
½ mile from the wood	½ mile from the wood	0	True
knebworth 1¼ mile 	knebworth 1¼ mile	0	False
1 mile e	1 mile e	0	True
1 mile 	1 mile	0	False
widely known for its fine 	widely known for its fine	0	False
fine view looking 	fine view looking	0	False
4 miles n	4 miles n	0	True
2¼ miles 	2¼ miles	0	False
2 miles e	2 miles e	0	True
2 to 3 miles 	2 to 3 miles	0	False
1 mile w	1 mile w	0	True
about 1½ mile 	about 1½ mile	0	False
drink of satan'	drink of satan	0	False
3 feet 7½ inches square	3 feet 7½ inches square	0	True
john wesley'	john wesley	0	True
anywhar'	anywhar	0	False
gunner'	gunner	0	True
lighter than the kruman'	lighter than the kruman	0	False
danes'	danes	0	True
creature'	creature	0	True
love beyond a brother'	love beyond a brother	0	False
greater importance than chopin'	greater importance than chopin	0	False
o hemlock-tree how faithful	o hemlock-tree how faithful	0	True
8 leagu	8 leagu	0	True
4-12 leagues to the 	4-12 leagues to the	0	False
another'	another	0	True
life alway'	life alway	0	False
man for a'	man for a	0	False
1 a day	1 a day	0	True
1 communicant in every 3	1 communicant in every 3	0	True
peele'	peele	0	True
governor'	governor	0	True
appear 'like palmers'	appear 'like palmers	0	False
officer of the rajah'	officer of the rajah	0	False
great friend of the governor'	great friend of the governor	0	False
hugo'	hugo	0	True
livin'	livin	0	True
primarily strether'	primarily strether	0	False
p masonry	p masonry	0	True
x and x n	x and x n	0	True
brute'	brute	0	True
cæsar'	cæsar	0	True
told by hillquit in everybody'	told by hillquit in everybody	0	False
parnell'	parnell	0	True
2 or more division	2 or more division	0	True
8 men under a corporal	8 men under a corporal	0	True
3 regiments under a brigadier-general	3 regiments under a brigadier-general	0	True
3 cavalry brigad	3 cavalry brigad	0	True
1 societies organized by individual	1 societies organized by individual	0	True
8 per cent	8 per cent	0	True
jews'	jews	0	True
quinn'	quinn	0	True
3 miles further	3 miles further	0	True
8 miles further	8 miles further	0	True
mrs piper'	mrs piper	0	True
mrs blodgett'	mrs blodgett	0	False
shot'	shot	0	True
8 feet by 16 feet	8 feet by 16 feet	0	True
3 to 4 feet long	3 to 4 feet long	0	True
3 feet in diameter	3 feet in diameter	0	True
town'	town	0	True
lord grimthorpe'	lord grimthorpe	0	True
testimony of william 	testimony of william	0	False
originally strawinsky'	originally strawinsky	0	False
two miles from holbrook'	two miles from holbrook	0	False
2 clem	2 clem	0	True
common to all men'	common to all men	0	True
pun on 'wring' and 'ring'	pun on 'wring' and 'ring	0	False
space'	space	0	True
merely 'vulgar lute'	merely 'vulgar lute	0	False
smaller scale than the duke'	smaller scale than the duke	0	False
leaping'	leaping	0	True
2 feet thick	2 feet thick	0	True
2 feet above the ground	2 feet above the ground	0	True
3 feet thick	3 feet thick	0	True
4 feet thick	4 feet thick	0	True
3 to 5 feet high	3 to 5 feet high	0	True
6 feet 3 inches wide	6 feet 3 inches wide	0	True
2 feet above its top	2 feet above its top	0	True
2 meter	2 meter	0	True
9 day	9 day	0	True
4 month	4 month	0	True
8 day	8 day	0	True
7 months and 8 day	7 months and 8 day	0	True
8 months and 17 day	8 months and 17 day	0	True
kings'	kings	0	True
large holy family of murillo'	large holy family of murillo	0	False
m maurice paléologue 1890	m maurice paléologue 1890	0	True
goethe'	goethe	0	True
typo for gjennembrud'	typo for gjennembrud	0	False
2 to 2½ feet thick	2 to 2½ feet thick	0	True
o adonai	o adonai	0	True
child'	child	0	True
nicoll'	nicoll	0	False
twenty miles from bruce'	twenty miles from bruce	0	False
again at a 'premium'	again at a 'premium	0	False
copy of the gospels of 	copy of the gospels of	0	False
similar to hatfield'	similar to hatfield	0	False
richard'	richard	0	True
8 a day	8 a day	0	True
liar'	liar	0	True
genuine conception of wagner'	genuine conception of wagner	0	False
day called henry the seventh'	day called henry the seventh	0	False
heine'	heine	0	True
4 feet from the ground	4 feet from the ground	0	True
scenes from the life of 	scenes from the life of	0	False
t and the syllable hun	t and the syllable hun	0	True
same as chrestien'	same as chrestien	0	False
wholly my father'	wholly my father	0	False
arbuthnot'	arbuthnot	0	True
late professor 	late professor	0	False
2 march letter	2 march letter	0	True
barkin'	barkin	0	False
2 14 inches thick	2 14 inches thick	0	True
below'	below	0	True
capitalists'	capitalists	0	True
great seamen'	great seamen	0	False
older than ya_gn_avalkya'	older than ya_gn_avalkya	0	False
emperor'	emperor	0	True
peculiarly the artist'	peculiarly the artist	0	False
world'	world	0	True
entry to 	entry to	0	False
stranger than fiction'	stranger than fiction	0	True
precisely similar to euphrasia'	precisely similar to euphrasia	0	False
bad'	bad	0	True
three particles used for 'you'	three particles used for 'you	0	False
four pictures in 	four pictures in	0	False
bell-tower of 	bell-tower of	0	False
to-day'	to-day	0	True
possession of the fathers of 	possession of the fathers of	0	False
front of 	front of	0	False
great church of 	great church of	0	False
chapel of the scali in 	chapel of the scali in	0	False
st george'	st george	0	True
4 acres in extent	4 acres in extent	0	True
mr robert 	mr robert	0	False
peter-screwing'	peter-screwing	0	False
5 miles off	5 miles off	0	True
none of man'	none of man	0	False
6 canton	6 canton	0	True
7 canton	7 canton	0	True
made from a wild 	made from a wild	0	False
point called craighead'	point called craighead	0	False
phrases of professor d'andrea'	phrases of professor d'andrea	0	False
montaigne'	montaigne	0	True
admirable stroke of voltaire'	admirable stroke of voltaire	0	False
long as the adverse party'	long as the adverse party	0	False
connection with all saints'	connection with all saints	0	False
johnson'	johnson	0	True
arnold'	arnold	0	True
country'	country	0	True
absolute contrast with their master'	absolute contrast with their master	0	False
à kempi	à kempi	0	True
2 corinthians and acts xx	2 corinthians and acts xx	0	True
geometry'	geometry	0	True
native of east vassalboro'	native of east vassalboro	0	False
pickwick'	pickwick	0	True
same as dindorf'	same as dindorf	0	False
rama'	rama	0	True
vain'	vain	0	True
king o' men for a'	king o' men for a	0	False
moses'	moses	0	True
comin' for sho'	comin' for sho	0	False
6 for each variety	6 for each variety	0	True
livingstone'	livingstone	0	True
colour'	colour	0	True
word 'philosophy'	word 'philosophy	0	False
form of 'application of areas'	form of 'application of areas	0	False
basis of medicine'	basis of medicine	0	False
his age'	his age	0	True
poles apart from the master'	poles apart from the master	0	False
worse'	worse	0	True
savage'	savage	0	True
calvin'	calvin	0	True
_ modern war	modern war	0	True
admirably presented in 	admirably presented in	0	False
station beyond 'prol'	station beyond 'prol	0	False
sent'	sent	0	True
same as 'papa'	same as 'papa	0	False
bishop of london'	bishop of london	0	True
3 to 5 lb	3 to 5 lb	0	True
come from lord maryborough'	come from lord maryborough	0	False
worse than your brother'	worse than your brother	0	False
about to recognise the 	about to recognise the	0	False
dunstan'	dunstan	0	True
wise'	wise	0	True
9 good and pleasant	9 good and pleasant	0	True
3 dollars per camel	3 dollars per camel	0	True
typical of ngo'	typical of ngo	0	False
5 livres and 10 sol	5 livres and 10 sol	0	True
rossini'	rossini	0	True
macfarren'	macfarren	0	False
3 mil	3 mil	0	True
1 the philippine commission legislative	1 the philippine commission legislative	0	True
latin 'saga'	latin 'saga	0	False
sordid rank'	sordid rank	0	False
2 and 3 to 1	2 and 3 to 1	0	True
proof against it'	proof against it	0	False
reverse'	reverse	0	True
thing'	thing	0	True
his pen'	his pen	0	True
dead'	dead	0	True
whiter than their master'	whiter than their master	0	False
baumgarten'	baumgarten	0	False
kind much narrower than shakspeare'	kind much narrower than shakspeare	0	False
shuckburgh'	shuckburgh	0	False
nearer the prince'	nearer the prince	0	False
6 feet 6 inches broad	6 feet 6 inches broad	0	True
pope'	pope	0	True
friends of 	friends of	0	False
darkly fadin'	darkly fadin	0	False
better than the eider'	better than the eider	0	False
say 'shells'	say 'shells	0	False
4 metres 20 thick	4 metres 20 thick	0	True
6 to 7 feet	6 to 7 feet	0	True
word 'color'	word 'color	0	False
4 or 5 yards wide	4 or 5 yards wide	0	True
gone'	gone	0	True
1 farmer	1 farmer	0	True
1 _office administration_	1 _office administration_	0	True
1 student aid	1 student aid	0	True
vastly different from the latter'	vastly different from the latter	0	False
late'	late	0	True
poem of browning'	poem of browning	0	False
last year'	last year	0	True
1 wrongful non-investment of trust	1 wrongful non-investment of trust	0	True
single sentence of camden'	single sentence of camden	0	False
7 or 8 feet thick	7 or 8 feet thick	0	True
5 military gun	5 military gun	0	True
weeping for the death of 	weeping for the death of	0	False
seat of the friars of 	seat of the friars of	0	False
to-day in 	to-day in	0	False
two marvellous stories of 	two marvellous stories of	0	False
stories of 	stories of	0	False
panel of the high-altar of 	panel of the high-altar of	0	False
head of 	head of	0	False
three stories of 	three stories of	0	False
panel in 	panel in	0	False
two v'	two v	0	False
1 get the name	1 get the name	0	True
attracted no eye but god'	attracted no eye but god	0	False
dean milman'	dean milman	0	False
thirtie leagues from 	thirtie leagues from	0	False
citie northwestward from 	citie northwestward from	0	False
citie of 	citie of	0	False
8 feet lower	8 feet lower	0	True
2 feet shorter	2 feet shorter	0	True
6 feet 10 inches wide	6 feet 10 inches wide	0	True
ontario'	ontario	0	True
duke'	duke	0	True
aforesaid story of 	aforesaid story of	0	False
round the baptismal font of 	round the baptismal font of	0	False
loggia of the hospital of 	loggia of the hospital of	0	False
figure of 	figure of	0	False
seeking alms from 	seeking alms from	0	False
sacristy of 	sacristy of	0	False
next to catharine'	next to catharine	0	False
gentlemen'	gentlemen	0	True
five blue 3'	five blue 3	0	False
gastric carcinogenesis in 	gastric carcinogenesis in	0	False
growth of not only 	growth of not only	0	False
g protein-coupled receptors gpcr	g protein-coupled receptors gpcr	0	True
t cells that drive autoimmunity	t cells that drive autoimmunity	0	True
3 nbds and 3 tmd	3 nbds and 3 tmd	0	True
well known and 	well known and	0	False
rewired compared to its 	rewired compared to its	0	False
currently available specifically for 	currently available specifically for	0	False
4 may 2017	4 may 2017	0	True
known about the effects of 	known about the effects of	0	False
host selection by 	host selection by	0	False
1 year	1 year	0	True
feeding behavior in 	feeding behavior in	0	False
comparable to kibdelomycin whereas for 	comparable to kibdelomycin whereas for	0	False
16-kda protein expressed by 	16-kda protein expressed by	0	False
imperative to better understand how 	imperative to better understand how	0	False
carriers of toxin-producing multidrug-resistant mdr 	carriers of toxin-producing multidrug-resistant mdr	0	False
crucial virulence factor for 	crucial virulence factor for	0	False
first relating 	first relating	0	False
1 in 3500 birth	1 in 3500 birth	0	True
5 gene	5 gene	0	True
g protein-coupled estrogen receptor gper	g protein-coupled estrogen receptor gper	0	True
representative component of 	representative component of	0	False
α cells of gcgr-ko mice	α cells of gcgr-ko mice	0	True
intended target of 	intended target of	0	False
critical step of streptococcus suis 	critical step of streptococcus suis	0	False
evaluated in vivo using 	evaluated in vivo using	0	False
t cell activation	t cell activation	0	True
4 enip	4 enip	0	True
6 enip	6 enip	0	True
utilized by 	utilized by	0	False
protective layer that provides 	protective layer that provides	0	False
6 gene ontology go term	6 gene ontology go term	0	True
dogs whereas 	dogs whereas	0	False
scarce monitoring the clone of 	scarce monitoring the clone of	0	False
bioactive compound in 	bioactive compound in	0	False
1 mgkgh by continuous infusion	1 mgkgh by continuous infusion	0	True
comprises ten proteins in humans 	comprises ten proteins in humans	0	False
bub1 kinase and 	bub1 kinase and	0	False
5 to 3 dna helicase	5 to 3 dna helicase	0	True
3 to 5 mm long	3 to 5 mm long	0	True
1 critical sumoylation site	1 critical sumoylation site	0	True
different than in 	different than in	0	False
known about how 	known about how	0	False
constructed in 	constructed in	0	False
essential nutrient for 	essential nutrient for	0	False
promising target for inhibiting 	promising target for inhibiting	0	False
herein defined as the 	herein defined as the	0	False
t cell immunity	t cell immunity	0	True
b cells is poorly understood	b cells is poorly understood	0	True
t cell immunity is unknown	t cell immunity is unknown	0	True
known about the component of 	known about the component of	0	False
primary sugar transporter of 	primary sugar transporter of	0	False
key bioactive constituents of 	key bioactive constituents of	0	False
t cell response	t cell response	0	True
b cell-intrinsic regulation of ige	b cell-intrinsic regulation of ige	0	True
t follicular helper cells t	t follicular helper cells t	0	True
g to a transition	g to a transition	0	True
b cell lymphoma	b cell lymphoma	0	True
8 of endogenous retroviruses herv	8 of endogenous retroviruses herv	0	True
t cell activation and function	t cell activation and function	0	True
t cell activation and differentiation	t cell activation and differentiation	0	True
4 upregulation	4 upregulation	0	True
t cell immune-mediated autoimmune disease	t cell immune-mediated autoimmune disease	0	True
t cells during gvhd	t cells during gvhd	0	True
frequently infected with 	frequently infected with	0	False
4 week	4 week	0	True
t cell function	t cell function	0	True
3 day	3 day	0	True
9 year	9 year	0	True
commonly caused by 	commonly caused by	0	False
f waves alteration	f waves alteration	0	True
t cells to maintain allodynia	t cells to maintain allodynia	0	True
crucial for both 	crucial for both	0	False
seen between neurites in 	seen between neurites in	0	False
applicable to 	applicable to	0	False
g protein signaling	g protein signaling	0	True
p 0001	p 0001	0	True
5 years is adequate	5 years is adequate	0	True
p introduction asthma	p introduction asthma	0	True
1 chemical hazard in u	1 chemical hazard in u	0	True
t cell-mediated inflammatory response	t cell-mediated inflammatory response	0	True
3 the functions of vasculature	3 the functions of vasculature	0	True
2 phase	2 phase	0	True
b cell dysfunction	b cell dysfunction	0	True
further validated in a 	further validated in a	0	False
2 lncaptβrii cell	2 lncaptβrii cell	0	True
key virulence factor for 	key virulence factor for	0	False
first report of 	first report of	0	False
monophasic variant of 	monophasic variant of	0	False
main virulence factor of 	main virulence factor of	0	False
widely distributed across 	widely distributed across	0	False
b domain	b domain	0	True
prominent growth feature of vancomycin-intermediate 	prominent growth feature of vancomycin-intermediate	0	False
one mechanism by which 	one mechanism by which	0	False
function of bone marrow mesenchymal 	function of bone marrow mesenchymal	0	False
novel oncological therapeutic targeting 	novel oncological therapeutic targeting	0	False
dysregulated microrna expression during 	dysregulated microrna expression during	0	False
critical functional regulator of cancer 	critical functional regulator of cancer	0	False
mitochondrial and endoplasmic reticulum 	mitochondrial and endoplasmic reticulum	0	False
signaling pathways of classic drugs 	signaling pathways of classic drugs	0	False
cellular zinc homeostasis and oxidative 	cellular zinc homeostasis and oxidative	0	False
important living materials and economic 	important living materials and economic	0	False
understanding of neural differentiation 	understanding of neural differentiation	0	False
s effect	s effect	0	True
novel therapies for cancer patients 	novel therapies for cancer patients	0	False
essential developmental pathway that is 	essential developmental pathway that is	0	False
fibroblast infiltration and maintains a 	fibroblast infiltration and maintains a	0	False
complications such as radiation-induced 	complications such as radiation-induced	0	False
2 biological processe	2 biological processe	0	True
s anti-senescence effect	s anti-senescence effect	0	True
impaired lipid metabolism and oxidative 	impaired lipid metabolism and oxidative	0	False
l residues e774 and d775	l residues e774 and d775	0	True
novel pharmacological strategies that provide 	novel pharmacological strategies that provide	0	False
g protein subunits downstream	g protein subunits downstream	0	True
platform to transduce cyclic nucleotide 	platform to transduce cyclic nucleotide	0	False
escalating global health challenge that 	escalating global health challenge that	0	False
s pro-tumor signaling	s pro-tumor signaling	0	True
s population	s population	0	True
chronic inflammatory skin disorder that 	chronic inflammatory skin disorder that	0	False
s expression and activity	s expression and activity	0	True
upstream modification regulating p66shc 	upstream modification regulating p66shc	0	False
precise biomarkers and innovative therapeutic 	precise biomarkers and innovative therapeutic	0	False
s defense against foreign pathogen	s defense against foreign pathogen	0	True
complex process involving molecular and 	complex process involving molecular and	0	False
multicolored drop-off assay designed to 	multicolored drop-off assay designed to	0	False
s sumo2-ligase function	s sumo2-ligase function	0	True
develop effective antiviral treatments against 	develop effective antiviral treatments against	0	False
mitochondrial dysfunction and oxidative 	mitochondrial dysfunction and oxidative	0	False
membraneless organelle and an excellent 	membraneless organelle and an excellent	0	False
autosomal dominant tumor susceptibility 	autosomal dominant tumor susceptibility	0	False
conserved protein complex that mediates 	conserved protein complex that mediates	0	False
s transient ion-permeable state	s transient ion-permeable state	0	True
s harmful effect	s harmful effect	0	True
economical and environmentally friendly 	economical and environmentally friendly	0	False
evolutionarily conserved cytoprotective 	evolutionarily conserved cytoprotective	0	False
s association	s association	0	True
highly inflammatory autoimmune-mediated 	highly inflammatory autoimmune-mediated	0	False
s membrane	s membrane	0	True
b cell-mediated autoimmune disease charac	b cell-mediated autoimmune disease charac	0	True
circular topographies and differentiation is 	circular topographies and differentiation is	0	False
neoplasm which frequently harbors kcnj5 	neoplasm which frequently harbors kcnj5	0	False
s stimulation	s stimulation	0	True
s recombinogenic activity	s recombinogenic activity	0	True
myocardial dysfunction and represents a 	myocardial dysfunction and represents a	0	False
t cell hyperactivity	t cell hyperactivity	0	True
calcium voltage-gated channel subunit alpha1 	calcium voltage-gated channel subunit alpha1	0	False
t cell-mediated autoimmune disease	t cell-mediated autoimmune disease	0	True
k data availability	k data availability	0	True
broadly expressed chloride channel that 	broadly expressed chloride channel that	0	False
s amplitude effect	s amplitude effect	0	True
s influence	s influence	0	True
g protein-biased	g protein-biased	0	True
g protein-selective	g protein-selective	0	True
extraordinary public health crisis that 	extraordinary public health crisis that	0	False
4 elements that the plaintiff	4 elements that the plaintiff	0	True
g protein-coupled seven-transmembrane rec	g protein-coupled seven-transmembrane rec	0	True
important ptm controlling b7-h4 protein 	important ptm controlling b7-h4 protein	0	False
s rna-binding activity	s rna-binding activity	0	True
s phase prolongation	s phase prolongation	0	True
s ataxia	s ataxia	0	True
c outcome	c outcome	0	True
s biochemical activity	s biochemical activity	0	True
s primase activity	s primase activity	0	True
z chromatin dynamic	z chromatin dynamic	0	True
s activity	s activity	0	True
key epigenetic mechanism that regulates 	key epigenetic mechanism that regulates	0	False
d phenotype subsequently	d phenotype subsequently	0	True
g transition	g transition	0	True
ubiquitous and highly conserved protein 	ubiquitous and highly conserved protein	0	False
s sterol reductase activity	s sterol reductase activity	0	True
s oligomerization	s oligomerization	0	True
powerful technique to characterize mrna 	powerful technique to characterize mrna	0	False
s unique c-terminal extension	s unique c-terminal extension	0	True
metal ion-dependent trnase that cleaves 	metal ion-dependent trnase that cleaves	0	False
s action	s action	0	True
prevalent respiratory disorder posing a 	prevalent respiratory disorder posing a	0	False
important enzyme that initiates protein 	important enzyme that initiates protein	0	False
s cellular bauplan	s cellular bauplan	0	True
ecologically and economically important 	ecologically and economically important	0	False
emerging and promising cancer treatment 	emerging and promising cancer treatment	0	False
suboptimal growth and increased disease 	suboptimal growth and increased disease	0	False
novel intravenous calcimimetic that was 	novel intravenous calcimimetic that was	0	False
traditional japanese food prepared from 	traditional japanese food prepared from	0	False
s land area	s land area	0	True
novel approach and efficiency-redefined 	novel approach and efficiency-redefined	0	False
t cell immune function	t cell immune function	0	True
t cells is not	t cells is not	0	True
b cell lymphoma pathogenesi	b cell lymphoma pathogenesi	0	True
b cell receptor	b cell receptor	0	True
method to systematically identify novel 	method to systematically identify novel	0	False
t and nk cell function	t and nk cell function	0	True
t helper	t helper	0	True
t regulatory cell	t regulatory cell	0	True
highly virulent pathogen causing severe 	highly virulent pathogen causing severe	0	False
i antigen	i antigen	0	True
t cells are not	t cells are not	0	True
s dna mutator activity	s dna mutator activity	0	True
s vaccination	s vaccination	0	True
b cell-specific base editor	b cell-specific base editor	0	True
b cell specific process required	b cell specific process required	0	True
b cell fate	b cell fate	0	True
t cell-intrinsic stat3	t cell-intrinsic stat3	0	True
s syndrome are urgently	s syndrome are urgently	0	True
s antitumor response	s antitumor response	0	True
attractive therapeutic target and dap10 	attractive therapeutic target and dap10	0	False
promising approach to prolong allograft 	promising approach to prolong allograft	0	False
t cell-licensing	t cell-licensing	0	True
t helper 17	t helper 17	0	True
t cell biology	t cell biology	0	True
t cell signaling	t cell signaling	0	True
t cell costimulatory molecule	t cell costimulatory molecule	0	True
t helper type 1	t helper type 1	0	True
b and proper mrna export	b and proper mrna export	0	True
complex biological response that varies 	complex biological response that varies	0	False
g protein coupled receptor	g protein coupled receptor	0	True
c is strictly	c is strictly	0	True
s outgrowth response to unc-6	s outgrowth response to unc-6	0	True
s gap activity	s gap activity	0	True
common pain syndrome following thalamic 	common pain syndrome following thalamic	0	False
novel protein analgesic engineered from 	novel protein analgesic engineered from	0	False
complex perception involving unpleasant 	complex perception involving unpleasant	0	False
natural alkaloid whose derivatives have 	natural alkaloid whose derivatives have	0	False
intrinsically disordered protein and is 	intrinsically disordered protein and is	0	False
s disease brain	s disease brain	0	True
g protein biased agonist	g protein biased agonist	0	True
s neuroprotective action	s neuroprotective action	0	True
challenging and heterogeneous molecular 	challenging and heterogeneous molecular	0	False
b cell-specific mutator	b cell-specific mutator	0	True
s transcriptional activity	s transcriptional activity	0	True
s motility	s motility	0	True
